Cloud,Flavor,Matched_OpenStack_Flavor,Cores,Memory_GB,Boot_Storage_GB,GPU,Compute_Price_Per_Month,Storage_Price_Per_GB_Per_Month,Description,Notes
rackspace,32GB Standard,,16,32,640,none,206.36,0.12,Rackspace 32GB Standard instance,General purpose + 640GB SSD
rackspace,64GB Standard,,32,64,1280,none,412.72,0.12,Rackspace 64GB Standard instance,General purpose + 1280GB SSD
rackspace,1GB GPU,,16,60,1000,a100,2500.00,0.12,Rackspace GPU instance with A100,GPU instance + 1000GB SSD
rackspace,flash,,0,0,1,none,0.00,0.12,Rackspace cloud block storage per GB,Storage-only pricing for attached volumes
digitalocean,flash,,0,0,1,none,0.00,0.10,DigitalOcean block storage per GB,Storage-only pricing
linode,flash,,0,0,1,none,0.00,0.05,Linode block storage per GB,Storage-only pricing
vultr,flash,,0,0,1,none,0.00,0.05,Vultr block storage per GB,Storage-only pricing
ibm,bx2-1x4,,1,4,30,none,50.00,0.10,IBM Cloud Compute bx2-1x4,1 vCPU + 4GB RAM + 30GB SSD
ibm,bx2-2x8,,2,8,60,none,100.00,0.10,IBM Cloud Compute bx2-2x8,2 vCPU + 8GB RAM + 60GB SSD
ibm,bx2-4x16,,4,16,120,none,200.00,0.10,IBM Cloud Compute bx2-4x16,4 vCPU + 16GB RAM + 120GB SSD
ibm,bx2-8x32,,8,32,240,none,400.00,0.10,IBM Cloud Compute bx2-8x32,8 vCPU + 32GB RAM + 240GB SSD
ibm,gpu-a100-1,,12,48,100,a100,1200.00,0.10,IBM Cloud GPU A100,12 vCPU + 48GB RAM + 1x A100 GPU
ibm,flash,,0,0,1,none,0.00,0.10,IBM Cloud block storage per GB,Storage-only pricing
oracle,vm.standard.e3.flex-1-1,,1,1,50,none,14.74,0.05,Oracle Cloud Compute E3 Flex,1 vCPU + 1GB RAM + 50GB SSD
oracle,vm.standard.e3.flex-2-1,,2,10,100,none,29.49,0.05,Oracle Cloud Compute E3 Flex,2 vCPU + 10GB RAM + 100GB SSD
oracle,vm.standard.e3.flex-4-1,,4,20,200,none,58.98,0.05,Oracle Cloud Compute E3 Flex,4 vCPU + 20GB RAM + 200GB SSD
oracle,vm.gpu.a100-1,,6,24,200,a100,1500.00,0.05,Oracle Cloud GPU A100,6 vCPU + 24GB RAM + 1x A100 GPU
oracle,flash,,0,0,1,none,0.00,0.05,Oracle Cloud block storage per GB,Storage-only pricing
alibaba,ecs.t6-c1m1.large,,2,2,40,none,20.00,0.10,Alibaba ECS T6 General Purpose,2 vCPU + 2GB RAM + 40GB disk
alibaba,ecs.c6.large,,2,4,40,none,40.00,0.10,Alibaba ECS C6 Compute Optimized,2 vCPU + 4GB RAM + 40GB disk
alibaba,ecs.c6.xlarge,,4,8,80,none,80.00,0.10,Alibaba ECS C6 Compute Optimized,4 vCPU + 8GB RAM + 80GB disk
alibaba,ecs.c6.2xlarge,,8,16,160,none,160.00,0.10,Alibaba ECS C6 Compute Optimized,8 vCPU + 16GB RAM + 160GB disk
alibaba,ecs.gn6i-c4g1.xlarge,,4,15,200,a100,800.00,0.10,Alibaba ECS GN6I GPU,4 vCPU + 15GB RAM + 1x A100 GPU
alibaba,flash,,0,0,1,none,0.00,0.10,Alibaba cloud disk per GB,Storage-only pricing
hetzner,flash,,0,0,1,none,0.00,0.05,Hetzner cloud storage per GB,Storage-only pricing
aws,flash,,0,0,,none,0.00,0.10,AWS storage per GB,
aws,p4d.24xlarge,g1.a100.80gb.x1,96,1152.0,,none,2003.63,0.10,AWS p4d.24xlarge (matched to g1.a100.80gb.x1),"GPU instance, Xeon Platinum 8275L, 4x 100 Gigabit, 8x NVIDIA A100 (price divided by 8 for single GPU)"
aws,m5a.4xlarge,gp.2xlarge,16,64.0,,none,502.24,0.10,AWS m5a.4xlarge (matched to gp.2xlarge),"General purpose, EPYC 7571, Up to 10 Gigabit"
aws,m5a.8xlarge,gp.4xlarge,32,128.0,,none,1004.48,0.10,AWS m5a.8xlarge (matched to gp.4xlarge),"General purpose, EPYC 7571, Up to 10 Gigabit"
aws,m5a.12xlarge,gp.6xlarge,48,192.0,,none,1506.72,0.10,AWS m5a.12xlarge (matched to gp.6xlarge),"General purpose, EPYC 7571, 10 Gigabit"
aws,t3a.xlarge,gp.large,4,16.0,,none,109.79,0.10,AWS t3a.xlarge (matched to gp.large),"General purpose, EPYC 7571, Up to 5 Gigabit"
aws,t3a.large,gp.medium,2,8.0,,none,54.90,0.10,AWS t3a.large (matched to gp.medium),"General purpose, EPYC 7571, Up to 5 Gigabit, Burstable (432min)"
aws,t3a.medium,gp.small,2,4.0,,none,27.45,0.10,AWS t3a.medium (matched to gp.small),"General purpose, EPYC 7571, Up to 5 Gigabit, Burstable (288min)"
aws,t3a.2xlarge,gp.xlarge,8,32.0,,none,219.58,0.10,AWS t3a.2xlarge (matched to gp.xlarge),"General purpose, EPYC 7571, Up to 5 Gigabit"
aws,p4d.24xlarge,gpu.a100.x1,96,1152.0,,none,2003.63,0.10,AWS p4d.24xlarge (matched to gpu.a100.x1),"GPU instance, Xeon Platinum 8275L, 4x 100 Gigabit, 8x NVIDIA A100 (price divided by 8 for single GPU)"
linode,g6-standard-16,gp.2xlarge,16,64.0,,none,384.00,0.05,LINODE g6-standard-16 (matched to gp.2xlarge),
linode,g6-standard-32,gp.4xlarge,32,192.0,,none,1152.00,0.05,LINODE g6-standard-32 (matched to gp.4xlarge),
linode,g6-dedicated-56,gp.6xlarge,56,256.0,,none,2304.00,0.05,LINODE g6-dedicated-56 (matched to gp.6xlarge),
linode,g6-standard-6,gp.large,6,16.0,,none,96.00,0.05,LINODE g6-standard-6 (matched to gp.large),
linode,g6-standard-4,gp.medium,4,8.0,,none,48.00,0.05,LINODE g6-standard-4 (matched to gp.medium),
linode,g6-standard-2,gp.small,2,4.0,,none,24.00,0.05,LINODE g6-standard-2 (matched to gp.small),
linode,g6-standard-8,gp.xlarge,8,32.0,,none,192.00,0.05,LINODE g6-standard-8 (matched to gp.xlarge),
azure,linux-nd96asr-standard,g1.a100.80gb.x1,96,900.0,,none,2481.73,0.05,AZURE linux-nd96asr-standard (matched to g1.a100.80gb.x1),8x NVIDIA A100 (price divided by 8 for single GPU)
azure,linux-b16psv2-standard,gp.2xlarge,16,64.0,,none,392.74,0.05,AZURE linux-b16psv2-standard (matched to gp.2xlarge),
azure,linux-d32psv6-standard,gp.4xlarge,32,128.0,,none,819.79,0.05,AZURE linux-d32psv6-standard (matched to gp.4xlarge),
azure,linux-d48psv6-standard,gp.6xlarge,48,192.0,,none,1230.05,0.05,AZURE linux-d48psv6-standard (matched to gp.6xlarge),
azure,linux-b4psv2-standard,gp.large,4,16.0,,none,97.82,0.05,AZURE linux-b4psv2-standard (matched to gp.large),
azure,linux-b2psv2-standard,gp.medium,2,8.0,,none,49.06,0.05,AZURE linux-b2psv2-standard (matched to gp.medium),
azure,linux-b2plsv2-standard,gp.small,2,4.0,,none,24.53,0.05,AZURE linux-b2plsv2-standard (matched to gp.small),
azure,linux-b8psv2-standard,gp.xlarge,8,32.0,,none,196.37,0.05,AZURE linux-b8psv2-standard (matched to gp.xlarge),
azure,linux-nd96asr-standard,gpu.a100.x1,96,900.0,,none,2481.73,0.05,AZURE linux-nd96asr-standard (matched to gpu.a100.x1),8x NVIDIA A100 (price divided by 8 for single GPU)
gcp,a2-highgpu-4g,g1.a100.80gb.x1,48,340.0,,none,1460.00,0.04,GCP a2-highgpu-4g (matched to g1.a100.80gb.x1),4x NVIDIA A100 (price divided by 4 for single GPU)
gcp,e2-standard-16,gp.2xlarge,16,64.0,,none,309.52,0.04,GCP e2-standard-16 (matched to gp.2xlarge),
gcp,e2-standard-32,gp.4xlarge,32,128.0,,none,619.04,0.04,GCP e2-standard-32 (matched to gp.4xlarge),
gcp,n2-standard-48,gp.6xlarge,48,192.0,,none,1366.44,0.04,GCP n2-standard-48 (matched to gp.6xlarge),
gcp,e2-standard-4,gp.large,4,16.0,,none,77.38,0.04,GCP e2-standard-4 (matched to gp.large),
gcp,e2-standard-2,gp.medium,2,8.0,,none,38.69,0.04,GCP e2-standard-2 (matched to gp.medium),
gcp,e2-standard-2,gp.small,2,8.0,,none,38.69,0.04,GCP e2-standard-2 (matched to gp.small),
gcp,e2-standard-8,gp.xlarge,8,32.0,,none,154.76,0.04,GCP e2-standard-8 (matched to gp.xlarge),
gcp,a2-highgpu-4g,gpu.a100.x1,48,340.0,,none,1460.00,0.04,GCP a2-highgpu-4g (matched to gpu.a100.x1),4x NVIDIA A100 (price divided by 4 for single GPU)
vultr,vultr-16c-64gb,gp.2xlarge,16,64.0,,none,350.40,0.05,VULTR vultr-16c-64gb (matched to gp.2xlarge),
vultr,vultr-32c-128gb,gp.4xlarge,32,128.0,,none,700.80,0.05,VULTR vultr-32c-128gb (matched to gp.4xlarge),
vultr,vultr-48c-192gb,gp.6xlarge,48,192.0,,none,1051.20,0.05,VULTR vultr-48c-192gb (matched to gp.6xlarge),
vultr,vultr-6c-16gb,gp.large,6,16.0,,none,80.30,0.05,VULTR vultr-6c-16gb (matched to gp.large),
vultr,vultr-4c-8gb,gp.medium,4,8.0,,none,43.80,0.05,VULTR vultr-4c-8gb (matched to gp.medium),
vultr,vultr-1c-5gb,gp.small,1,5.0,,none,2.92,0.05,VULTR vultr-1c-5gb (matched to gp.small),
vultr,vultr-8c-32gb,gp.xlarge,8,32.0,,none,175.20,0.05,VULTR vultr-8c-32gb (matched to gp.xlarge),
hetzner,ccx33,gp.2xlarge,16,64.0,,none,67.59,0.05,HETZNER ccx33 (matched to gp.2xlarge),
hetzner,ccx43,gp.4xlarge,32,128.0,,none,107.59,0.05,HETZNER ccx43 (matched to gp.4xlarge),
hetzner,ccx53,gp.6xlarge,48,192.0,,none,214.09,0.05,HETZNER ccx53 (matched to gp.6xlarge),
hetzner,cx43,gp.large,8,16.0,,none,8.49,0.05,HETZNER cx43 (matched to gp.large),
hetzner,cx33,gp.medium,4,8.0,,none,4.09,0.05,HETZNER cx33 (matched to gp.medium),
hetzner,cx23,gp.small,2,4.0,,none,1.20,0.05,HETZNER cx23 (matched to gp.small),
hetzner,cx53,gp.xlarge,16,32.0,,none,19.59,0.05,HETZNER cx53 (matched to gp.xlarge),
digitalocean,g-16vcpu-64gb,gp.2xlarge,16,64.0,,none,504.00,0.10,DIGITALOCEAN g-16vcpu-64gb (matched to gp.2xlarge),
digitalocean,g-32vcpu-128gb,gp.4xlarge,32,128.0,,none,1008.00,0.10,DIGITALOCEAN g-32vcpu-128gb (matched to gp.4xlarge),
digitalocean,g-48vcpu-192gb-intel,gp.6xlarge,48,192.0,,none,1814.00,0.10,DIGITALOCEAN g-48vcpu-192gb-intel (matched to gp.6xlarge),
digitalocean,s-4vcpu-16gb-amd,gp.large,4,16.0,,none,84.00,0.10,DIGITALOCEAN s-4vcpu-16gb-amd (matched to gp.large),
digitalocean,s-2vcpu-8gb-amd,gp.medium,2,8.0,,none,42.00,0.10,DIGITALOCEAN s-2vcpu-8gb-amd (matched to gp.medium),
digitalocean,s-2vcpu-4gb,gp.small,2,4.0,,none,24.00,0.10,DIGITALOCEAN s-2vcpu-4gb (matched to gp.small),
digitalocean,s-8vcpu-32gb-amd,gp.xlarge,8,32.0,,none,168.00,0.10,DIGITALOCEAN s-8vcpu-32gb-amd (matched to gp.xlarge),
